CFLFDN    ;CHK-VORG            ;1094;APG       ;APGS4     ;CFP0020   ;20090809;191813;SLE       ;SLES4     ;CFP0020   ;20200303;141425
CFLFDN    ;PARCHIV             ;3201;APG       ;APGS1     ;CFP0020   ;20090108;90813;GUJ       ;QPADEV0001;CFP0020   ;20181130;160024
CFLFDN    ;PCHKSRC             ;23532;APG       ;APGS3     ;CFP0020   ;20090809;184539;SLE       ;SLES4     ;CFP0020   ;20200303;141425
CFLFDN    ;PTAGLIB             ;1434;APG       ;APGS3     ;CFP0020   ;20090116;131401;APG       ;APGS1     ;CFP0020   ;20150102;83911
CFLFDN    ;PCMPHIS             ;6788;APG       ;APGS1     ;CFP0020   ;20091015;74626;APG       ;APGS1     ;CFP0020   ;20200721;94240
CFLFDN    ;PCFGFFD             ;119667;APG       ;APGS4     ;CFP0020   ;20091104;174323;APG       ;XXD0002DE ;CFP0020   ;20190220;72734
CFLFDN    ;PSEUHST             ;13;APG       ;APGS4     ;CFP0020   ;20100202;224829;APG       ;APGS4     ;CFP0020   ;20180111;81424
SEUHST    ;APG                 ;12;APG       ;APGS4     ;CFP0021   ;20100202;224941;APG       ;APGS4     ;CFP0021   ;20180111;81424
CFLFDN    ;PKDBEIN             ;4;APG       ;APGS1     ;CFP0020   ;20100312;180838;THR       ;THRS3     ;CFP0020   ;20100819;90354
CFLFDN    ;PKDBST1             ;8;DSM       ;DSMS5     ;CFP0020   ;20100319;131808;JAH       ;JAHS4     ;CFP0020   ;20100930;155903
CFLFDN    ;PAZUUEB             ;58;APG       ;APGS1     ;CFP0020   ;20100803;201550;APG       ;APGS4     ;CFP0020   ;20151006;154259
CFLFDN    ;PCFGMAI             ;7746;APG       ;APGS1     ;CFP0020   ;20100909;173906;QUSER     ;XXP1000   ;CFP0020   ;20160606;70015
CFLFDN    ;POPLLST             ;1259;APG       ;APGS4     ;CFP0020   ;20110201;131137;QUSER     ;XXP1000   ;CFP0020   ;20170302;60134
CFLFDN    ;OPL-SHARE           ;39;APG       ;APGS1     ;CFP0020   ;20110303;182936;APG       ;APGS1     ;CFP0020   ;20140228;152549
CFLFDN    ;PSTRTIM             ;6;APG       ;APGS3     ;CFP0020   ;20110609;130840;APG       ;APGS3     ;CFP0020   ;20120904;72110
CFLFDN    ;PSEQNBR             ;47847;APG       ;APGS1     ;CFP0020   ;20110616;174133;APG       ;APGS1     ;CFP0020   ;20110616;174309
CFLFDN    ;PCFGSTS             ;1124;APG       ;CHKAUTCFG ;CFP0020   ;20110926;71502;QUSER     ;ESSENMAIL ;CFP0020   ;20180907;122001
